Round Number,Date,Location,Home Team,Away Team,Result
16,02/02/2019 21:00,Talking Stick Resort Arena,Phoenix Suns,Atlanta Hawks,112 - 118
16,02/02/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Houston Rockets,98 - 125
16,02/02/2019 22:00,Golden 1 Center,Sacramento Kings,Philadelphia 76ers,115 - 108
16,03/02/2019 13:00,Madison Square Garden,New York Knicks,Memphis Grizzlies,84 - 96
16,03/02/2019 14:00,TD Garden,Boston Celtics,Oklahoma City Thunder,134 - 129
16,03/02/2019 15:00,Scotiabank Arena,Toronto Raptors,LA Clippers,121 - 103
16,04/02/2019 19:00,Little Caesars Arena,Detroit Pistons,Denver Nuggets,129 - 103
16,04/02/2019 19:00,Capital One Arena,Washington Wizards,Atlanta Hawks,129 - 137
16,04/02/2019 19:30,Barclays Center,Brooklyn Nets,Milwaukee Bucks,94 - 113
16,04/02/2019 20:00,Smoothie King Center,New Orleans Pelicans,Indiana Pacers,107 - 109
16,04/02/2019 21:00,Talking Stick Resort Arena,Phoenix Suns,Houston Rockets,110 - 118
16,04/02/2019 22:00,Golden 1 Center,Sacramento Kings,San Antonio Spurs,127 - 112
16,05/02/2019 19:00,Spectrum Center,Charlotte Hornets,LA Clippers,115 - 117
16,05/02/2019 19:00,Quicken Loans Arena,Cleveland Cavaliers,Boston Celtics,96 - 103
16,05/02/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Los Angeles Lakers,136 - 94
16,05/02/2019 19:30,Madison Square Garden,New York Knicks,Detroit Pistons,92 - 105
16,05/02/2019 20:00,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,107 - 119
16,05/02/2019 20:00,FedExForum,Memphis Grizzlies,Minnesota Timberwolves,108 - 106
16,05/02/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Orlando Magic,132 - 122
16,05/02/2019 22:30,Moda Center,Portland Trail Blazers,Miami Heat,108 - 118
16,06/02/2019 19:30,Barclays Center,Brooklyn Nets,Denver Nuggets,135 - 130
16,06/02/2019 20:00,United Center,Chicago Bulls,New Orleans Pelicans,120 - 125
16,06/02/2019 20:00,Fiserv Forum,Milwaukee Bucks,Washington Wizards,148 - 129
16,06/02/2019 20:30,American Airlines Center,Dallas Mavericks,Charlotte Hornets,99 - 93
16,06/02/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Phoenix Suns,116 - 88
16,06/02/2019 22:00,Golden 1 Center,Sacramento Kings,Houston Rockets,101 - 127
16,06/02/2019 22:30,ORACLE Arena,Golden State Warriors,San Antonio Spurs,141 - 102
17,07/02/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,LA Clippers,116 - 92
17,07/02/2019 19:00,Amway Center,Orlando Magic,Minnesota Timberwolves,122 - 112
17,07/02/2019 19:30,State Farm Arena,Atlanta Hawks,Toronto Raptors,101 - 119
17,07/02/2019 20:00,TD Garden,Boston Celtics,Los Angeles Lakers,128 - 129
17,07/02/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Memphis Grizzlies,117 - 95
17,07/02/2019 22:30,Moda Center,Portland Trail Blazers,San Antonio Spurs,127 - 118
17,08/02/2019 19:00,Little Caesars Arena,Detroit Pistons,New York Knicks,120 - 103
17,08/02/2019 19:00,Wells Fargo Center,Philadelphia 76ers,Denver Nuggets,117 - 110
17,08/02/2019 19:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,119 - 106
17,08/02/2019 19:30,Barclays Center,Brooklyn Nets,Chicago Bulls,106 - 125
17,08/02/2019 20:30,American Airlines Center,Dallas Mavericks,Milwaukee Bucks,107 - 122
17,08/02/2019 21:00,Talking Stick Resort Arena,Phoenix Suns,Golden State Warriors,107 - 117
17,08/02/2019 21:30,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,122 - 117
17,08/02/2019 22:00,Golden 1 Center,Sacramento Kings,Miami Heat,102 - 96
17,09/02/2019 17:00,Vivint Smart Home Arena,Utah Jazz,San Antonio Spurs,125 - 105
17,09/02/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Cleveland Cavaliers,105 - 90
17,09/02/2019 19:30,State Farm Arena,Atlanta Hawks,Charlotte Hornets,120 - 129
17,09/02/2019 19:30,Madison Square Garden,New York Knicks,Toronto Raptors,99 - 104
17,09/02/2019 20:00,TD Garden,Boston Celtics,LA Clippers,112 - 123
17,09/02/2019 20:00,United Center,Chicago Bulls,Washington Wizards,125 - 134
17,09/02/2019 20:00,FedExForum,Memphis Grizzlies,New Orleans Pelicans,99 - 90
17,09/02/2019 20:30,Toyota Center,Houston Rockets,Oklahoma City Thunder,112 - 117
17,09/02/2019 21:00,Fiserv Forum,Milwaukee Bucks,Orlando Magic,83 - 103
17,10/02/2019 15:00,American Airlines Center,Dallas Mavericks,Portland Trail Blazers,102 - 101
17,10/02/2019 15:30,Wells Fargo Center,Philadelphia 76ers,Los Angeles Lakers,143 - 120
17,10/02/2019 18:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,117 - 104
17,10/02/2019 19:30,State Farm Arena,Atlanta Hawks,Orlando Magic,108 - 124
17,10/02/2019 20:30,ORACLE Arena,Golden State Warriors,Miami Heat,120 - 118
17,11/02/2019 19:00,Quicken Loans Arena,Cleveland Cavaliers,New York Knicks,107 - 104
17,11/02/2019 19:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,121 - 112
17,11/02/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Charlotte Hornets,99 - 90
17,11/02/2019 19:30,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,127 - 125
17,11/02/2019 20:00,United Center,Chicago Bulls,Milwaukee Bucks,99 - 112
17,11/02/2019 20:00,Toyota Center,Houston Rockets,Dallas Mavericks,120 - 104
17,11/02/2019 20:00,Target Center,Minnesota Timberwolves,LA Clippers,130 - 120
17,11/02/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Portland Trail Blazers,120 - 111
17,11/02/2019 21:00,Pepsi Center,Denver Nuggets,Miami Heat,103 - 87
17,12/02/2019 19:30,State Farm Arena,Atlanta Hawks,Los Angeles Lakers,117 - 113
17,12/02/2019 20:00,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,109 - 112
17,12/02/2019 20:00,FedExForum,Memphis Grizzlies,San Antonio Spurs,107 - 108
17,12/02/2019 20:00,Smoothie King Center,New Orleans Pelicans,Orlando Magic,88 - 118
17,12/02/2019 22:30,ORACLE Arena,Golden State Warriors,Utah Jazz,115 - 108
17,13/02/2019 19:00,Quicken Loans Arena,Cleveland Cavaliers,Brooklyn Nets,139 - 148
17,13/02/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Milwaukee Bucks,97 - 106
17,13/02/2019 19:30,TD Garden,Boston Celtics,Detroit Pistons,118 - 110
17,13/02/2019 19:30,Madison Square Garden,New York Knicks,Philadelphia 76ers,111 - 126
17,13/02/2019 19:30,Scotiabank Arena,Toronto Raptors,Washington Wizards,129 - 120
17,13/02/2019 20:00,United Center,Chicago Bulls,Memphis Grizzlies,122 - 110
